pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,Fixation.started,Fixation.stopped,Line1.started,Line2.started,Line3.started,Line4.started,Probe.started,key_resp_2.started,routine_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,19,0,76,0,,,,,218.49818210001104,,218.4834805999999,218.49818210001104,219.49497980001615,219.49497980001615,219.49497980001615,219.49497980001615,219.49497980001615,220.494195199979,220.494195199979,220.8125149999978,v,0,0.3079264999832958,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
150,v,19,1,77,1,,,,,220.82974770001601,,220.8144433000125,220.82974770001601,221.82674749998841,221.82674749998841,221.82674749998841,221.82674749998841,221.82674749998841,222.8260502999765,222.8260502999765,223.67704690003302,z,0,0.848210999974981,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
50,c,19,2,78,2,,,,,223.6938929000171,,223.67880080000032,223.6938929000171,224.6909871000098,224.6909871000098,224.6909871000098,224.6909871000098,224.6909871000098,225.69019079999998,225.69019079999998,227.07360780000454,c,1,1.3744070999673568,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-150,z,19,3,79,3,,,,,227.09138719999464,,227.07498109998414,227.09138719999464,228.07422270003008,228.07422270003008,228.07422270003008,228.07422270003008,228.0881408000132,229.0871243000147,229.0871243000147,229.93804039998213,x,0,0.8400404999847524,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-50,x,20,0,80,0,,,,,229.95621919998666,,229.9399706000113,229.95621919998666,230.93838629999664,230.93838629999664,230.93838629999664,230.93838629999664,230.96930350002367,231.95196829998167,231.95196829998167,232.9526571999886,v,0,0.9983785999938846,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
150,v,20,1,81,1,,,,,232.96987790003186,,232.9545976999798,232.96987790003186,233.96701800002484,233.96701800002484,233.96701800002484,233.96701800002484,233.96701800002484,234.96601430000737,234.96601430000737,235.78356230002828,z,0,0.8105123999994248,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
50,c,20,2,82,2,,,,,235.80109159997664,,235.78573419997701,235.80109159997664,236.80033040000126,236.80033040000126,236.80033040000126,236.80033040000126,236.81454069999745,237.796895699983,237.796895699983,238.6806207000045,c,1,0.8738228000001982,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-150,z,20,3,83,3,,,,,238.69840749999275,,238.68252219998976,238.69840749999275,239.68112399999518,239.68112399999518,239.68112399999518,239.68112399999518,239.69553700002143,240.6942087999778,240.6942087999778,243.52717060002033,x,0,2.816312800045125,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-50,x,21,0,84,0,,,,,243.54479479999281,,243.52914260001853,243.54479479999281,244.54143039998598,244.54143039998598,244.54143039998598,244.54143039998598,244.54143039998598,245.54077080002753,245.54077080002753,245.94174109998858,v,0,0.390801300003659,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
150,v,21,1,85,1,,,,,245.95942309999373,,245.94340350001585,245.95942309999373,246.94207470002584,246.94207470002584,246.94207470002584,246.94207470002584,246.95617170003243,247.95530999999028,247.95530999999028,248.97237740003038,z,0,1.0024433000362478,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
50,c,21,2,86,2,,,,,248.99049140000716,,248.97429620003095,248.99049140000716,249.97273209999548,249.97273209999548,249.97273209999548,249.97273209999548,250.00369749998208,250.9862479000003,250.9862479000003,252.07018139999127,c,1,1.080617200001143,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-150,z,21,3,87,3,,,,,252.0875359000056,,252.07239520002622,252.0875359000056,253.08442849997664,253.08442849997664,253.08442849997664,253.08442849997664,253.08442849997664,254.08370489999652,254.08370489999652,256.4497671999852,x,0,2.3621244999812916,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-50,x,22,0,88,0,,,,,256.4673687000177,,256.4516280000098,256.4673687000177,257.450331799977,257.450331799977,257.450331799977,257.450331799977,257.4641001999844,258.4632627000101,258.4632627000101,259.56375390000176,v,0,1.0921248000231571,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
150,v,22,1,89,1,,,,,259.58131320000393,,259.5656105999951,259.58131320000393,260.56394199997885,260.56394199997885,260.56394199997885,260.56394199997885,260.57848530000774,261.57746120000957,261.57746120000957,262.6115119000315,z,0,1.0251578000024892,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
