pos,corr_resp,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
150,v,1,0,4,1,11,1,45,1,2751.6006441999925,,2751.5846133999876,2751.6006441999925,2752.583295099961,2752.583295099961,2752.583295099961,2752.583295099961,2752.597437899967,2753.596386999998,2753.596386999998,2753.8812364999903,x,0,0.2744133999804035,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
50,c,1,0,4,1,11,2,46,2,2753.8985688000103,,2753.883090599964,2753.8985688000103,2754.8953480999917,2754.8953480999917,2754.8953480999917,2754.8953480999917,2754.8953480999917,2755.8945273999707,2755.8945273999707,2756.6453197000083,c,1,0.7375259999535047,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-150,z,1,0,4,1,11,3,47,3,2756.6633155000163,,2756.647214700002,2756.6633155000163,2757.6460514999926,2757.6460514999926,2757.6460514999926,2757.6460514999926,2757.6596401999705,2758.6586856999784,2758.6586856999784,2758.993502199999,x,0,0.3182150000357069,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-50,x,1,0,4,1,12,0,48,0,2759.0110973999836,,2758.9954030999797,2759.0110973999836,2759.9940188999753,2759.9940188999753,2759.9940188999753,2759.9940188999753,2760.007702699979,2761.0067602999625,2761.0067602999625,2761.424992299988,v,0,0.40925419999985024,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
150,v,1,0,4,1,12,1,49,1,2761.4426297000027,,2761.4271298999665,2761.4426297000027,2762.4393462999724,2762.4393462999724,2762.4393462999724,2762.4393462999724,2762.4393462999724,2763.438495999959,2763.438495999959,2763.789325599966,z,0,0.3397868999745697,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
50,c,1,0,4,1,12,2,50,2,2763.8071524999687,,2763.7911900999607,2763.8071524999687,2764.789980600006,2764.789980600006,2764.789980600006,2764.789980600006,2764.803805899981,2765.8028208999895,2765.8028208999895,2766.2386458999827,c,1,0.43370579998008907,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-150,z,1,0,4,1,12,3,51,3,2766.255586799991,,2766.2406648999895,2766.255586799991,2767.2516379000153,2767.2516379000153,2767.2516379000153,2767.2516379000153,2767.2516379000153,2768.250786299992,2768.250786299992,2768.5521966000088,x,0,0.28848699998343363,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-50,x,1,0,4,1,13,0,52,0,2768.5702824000036,,2768.5541531000054,2768.5702824000036,2769.5535601999727,2769.5535601999727,2769.5535601999727,2769.5535601999727,2769.56697429996,2770.5656730000046,2770.5656730000046,2771.0504143,v,0,0.4737382000312209,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
150,v,1,0,4,1,13,1,53,1,2771.067696199985,,2771.052522999991,2771.067696199985,2772.0647390999948,2772.0647390999948,2772.0647390999948,2772.0647390999948,2772.0647390999948,2773.063713199983,2773.063713199983,2773.664282199985,z,0,0.5913228999706917,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
50,c,1,0,4,1,13,2,54,2,2773.682503899967,,2773.6654912999948,2773.682503899967,2774.66529059998,2774.66529059998,2774.66529059998,2774.66529059998,2774.6793130000005,2775.679196399986,2775.679196399986,2776.0799093999667,c,1,0.3910197000368498,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
