pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp_2.started,routine_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,35,0,140,0,,,,,565.7358538999688,,565.7225210999604,565.7358538999688,566.7354164000135,566.7354164000135,566.7354164000135,566.7354164000135,566.7354164000135,567.7346649999963,567.7346649999963,568.9356617999729,c,0,1.197132600005716,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
150,v,35,1,141,1,,,,,568.9502908999566,,568.9374364999821,568.9502908999566,569.949578300002,569.949578300002,569.949578300002,569.949578300002,569.949578300002,570.9485499999719,570.9485499999719,572.8984390000114,v,1,1.9451687999535352,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
50,c,35,2,142,2,,,,,572.9133991999552,,572.9000880999956,572.9133991999552,573.9126674999716,573.9126674999716,573.9126674999716,573.9126674999716,573.9126674999716,574.9119800999761,574.9119800999761,576.8956422000192,x,0,1.975071799941361,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-150,z,35,3,143,3,,,,,576.9099132999545,,576.8973862000275,576.9099132999545,577.9093625999521,577.9093625999521,577.9093625999521,577.9093625999521,577.9093625999521,578.9084808999905,578.9084808999905,580.2096757999389,z,1,1.2944003000156954,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-50,x,36,0,144,0,,,,,580.2241031000158,,580.2116620999295,580.2241031000158,581.2236897000112,581.2236897000112,581.2236897000112,581.2236897000112,581.2236897000112,582.2223972999491,582.2223972999491,583.9065189999528,c,0,1.6800087000010535,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
150,v,36,1,145,1,,,,,583.9211639999412,,583.9083241999615,583.9211639999412,584.9204601999372,584.9204601999372,584.9204601999372,584.9204601999372,584.9204601999372,585.9197575999424,585.9197575999424,587.0038357999874,v,1,1.0797801000298932,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
50,c,36,2,146,2,,,,,587.0185360999312,,587.0056370999664,587.0185360999312,588.0179689999204,588.0179689999204,588.0179689999204,588.0179689999204,588.0179689999204,589.0167393999873,589.0167393999873,590.7999562999466,x,0,1.7713317999150604,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-150,z,36,3,147,3,,,,,590.8152259999188,,590.8017227000091,590.8152259999188,591.8147419999586,591.8147419999586,591.8147419999586,591.8147419999586,591.8147419999586,592.8138342999155,592.8138342999155,594.6145285000093,z,1,1.79422959999647,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-50,x,37,0,148,0,,,,,594.628977800021,,594.6163129999768,594.628977800021,595.6282207999611,595.6282207999611,595.6282207999611,595.6282207999611,595.6282207999611,596.6274810999166,596.6274810999166,598.2108360999264,c,0,1.5785311999497935,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
150,v,37,1,149,1,,,,,598.2259163999697,,598.2126060000155,598.2259163999697,599.225229499978,599.225229499978,599.225229499978,599.225229499978,599.225229499978,600.224250899977,600.224250899977,602.6742660999298,v,1,2.4388347999192774,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
