pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp_2.started,routine_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,43,3,175,3,,,,,460.32103710004594,,460.30507810006384,460.32103710004594,461.31730650004465,461.31730650004465,461.31730650004465,461.31730650004465,461.31730650004465,462.3164487000322,462.3164487000322,462.90083220007364,z,1,0.5805984999751672,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-50,x,44,0,176,0,,,,,462.91883930005133,,462.90255580004305,462.91883930005133,463.9150971000781,463.90136820008047,463.90136820008047,463.90136820008047,463.90136820008047,464.914275099989,464.914275099989,465.36574580008164,x,1,0.442037699976936,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
150,v,44,1,177,1,,,,,465.38352030003443,,465.36748830007855,465.38352030003443,466.3796751999762,466.3796751999762,466.3796751999762,466.3796751999762,466.3796751999762,467.37894990004133,467.37894990004133,468.2464718000265,v,1,0.863021899946034,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
50,c,44,2,178,2,,,,,468.2644969000248,,468.2481621999759,468.2644969000248,469.26075460005086,469.24694490002,469.24694490002,469.24694490002,469.24694490002,470.26001780002844,470.26001780002844,471.06075469998177,c,1,0.7834307999582961,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-150,z,44,3,179,3,,,,,471.0789286000654,,471.0624834999908,471.0789286000654,472.0751075000735,472.0613906000508,472.0613906000508,472.0613906000508,472.0613906000508,473.0743546000449,473.0743546000449,473.95965069998056,z,1,0.8828994000796229,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-50,x,45,0,180,0,,,,,473.9766942000715,,473.9613756000763,473.9766942000715,474.9892801999813,474.97577120002825,474.97577120002825,474.97577120002825,474.97577120002825,475.9719091000734,475.9719091000734,476.6895064000273,x,1,0.7112664000596851,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
150,v,45,1,181,1,,,,,476.7074478000868,,476.69122610008344,476.7074478000868,477.7038889999967,477.68990029999986,477.68990029999986,477.68990029999986,477.68990029999986,478.70305430004373,478.70305430004373,479.8204835000215,v,1,1.1146815000101924,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
50,c,45,2,182,2,,,,,479.83824469998945,,479.8221989000449,479.83824469998945,480.8344356000889,480.82083290000446,480.82083290000446,480.82083290000446,480.82083290000446,481.8337767000776,481.8337767000776,482.61836800002493,c,1,0.7718069000402465,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-150,z,45,3,183,3,,,,,482.63617820001673,,482.6200933000073,482.63617820001673,483.6322782000061,483.6322782000061,483.6322782000061,483.6322782000061,483.6322782000061,484.6311673000455,484.6311673000455,485.44907010009047,z,1,0.8014961000299081,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-50,x,46,0,184,0,,,,,485.46699129999615,,485.4507997999899,485.46699129999615,486.4632289999863,486.4495826000348,486.4495826000348,486.4495826000348,486.4495826000348,487.4624299000716,487.4624299000716,488.4133999000769,x,1,0.9428242000285536,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
